| Nazwisko    | Imię      | Data urodzenia | Miejsce urodzenia | Stanowisko    | Kod  | Zestawienie                         |
| ----------- | --------- | -------------- | ----------------- | ------------- | ---- | ----------------------------------- |
| Smith       | Jan       | 22.01.71       | Wroclaw           | prawnik       | sj71 | Jan Smith 22-01-71 sj71             |
| Kowal       | Michal    | 02.12.69       | Warszawa          | sekretarka    | km69 | Michal Kowal 02-12-69 km69          |
| Anusz       | Anna      | 22.08.64       | Krakow            | informatyk    | aa64 | Anna Anusz 22-08-64 aa64            |
| Chinski     | Marek     | 14.11.68       | Olesnica          | ksiegowy      | cm68 | Marek Chinski 14-11-68 cm68         |
| Mieta       | Roman     | 17.03.63       | Swidnica          | grafik        | mr63 | Roman Mieta 17-03-63 mr63           |
| Gates       | Karol     | 18.05.67       | Wachock           | akwizytor     | gk67 | Karol Gates 18-05-67 gk67           |
| Janasik     | Anatol    | 21.01.68       | Bydgoszcz         | menadzer      | ja68 | Anatol Janasik 21-01-68 ja68        |
| Milion      | Ewa       | 14.02.63       | Poznan            | radca         | me63 | Ewa Milion 14-02-63 me63            |
| Bosman      | Bogdan    | 01.01.70       | Leszno            | portier       | bb70 | Bogdan Bosman 01-01-70 bb70         |
| Kildare     | Dariusz   | 27.02.68       | Lublin            | elektronik    | kd68 | Dariusz Kildare 27-02-68 kd68       |
| Holmes      | Jakub     | 30.06.68       | Olsztyn           | statystyk     | hj68 | Jakub Holmes 30-06-68 hj68          |
| Kmicic      | Jan       | 10.08.66       | Bydgoszcz         | informatyk    | kj66 | Jan Kmicic 10-08-66 kj66            |
| Potocki     | Grzegorz  | 22.12.63       | JeleniaGora       | akwizytor     | pg63 | Grzegorz Potocki 22-12-63 pg63      |
| Gigant      | Grzegorz  | 16.11.66       | Krakow            | elektronik    | gg66 | Grzegorz Gigant 16-11-66 gg66       |
| Inny        | Stefan    | 07.06.66       | Leszno            | grafik        | is66 | Stefan Inny 07-06-66 is66           |
| Rozny       | Stanislaw | 22.01.68       | Lublin            | informatyk    | rs68 | Stanislaw Rozny 22-01-68 rs68       |
| Boss        | Bohdan    | 26.03.66       | Olesnica          | ksiegowy      | bb66 | Bohdan Boss 26-03-66 bb66           |
| Gates       | Anna      | 03.07.70       | Olsztyn           | menadzer      | ga70 | Anna Gates 03-07-70 ga70            |
| Potocki     | Stanislaw | 01.09.65       | Poznan            | portier       | ps65 | Stanislaw Potocki 01-09-65 ps65     |
| Mieta       | Karol     | 04.05.65       | Swidnica          | radca         | mk65 | Karol Mieta 04-05-65 mk65           |
| Bosman      | Jan       | 04.05.67       | Warszawa          | sekretarka    | bj67 | Jan Bosman 04-05-67 bj67            |
| Smith       | Jan       | 25.04.65       | Wroclaw           | statystyk     | sj65 | Jan Smith 25-04-65 sj65             |
| Rozny       | Michal    | 22.05.65       | Wroclaw           | sekretarka    | rm65 | Michal Rozny 22-05-65 rm65          |
| Potocki     | Anna      | 01.10.65       | Wroclaw           | radca         | pa65 | Anna Potocki 01-10-65 pa65          |
| Potocki     | Karol     | 13.01.65       | Warszawa          | informatyk    | pk65 | Karol Potocki 13-01-65 pk65         |
| Milion      | Roman     | 02.10.66       | Warszawa          | portier       | mr66 | Roman Milion 02-10-66 mr66          |
| Mieta       | Karol     | 16.05.65       | Swidnica          | menadzer      | mk65 | Karol Mieta 16-05-65 mk65           |
| Mieta       | Anatol    | 05.07.70       | Swidnica          | ksiegowy      | ma70 | Anatol Mieta 05-07-70 ma70          |
| Kowal       | Ewa       | 12.01.70       | Poznan            | informatyk    | ke70 | Ewa Kowal 12-01-70 ke70             |
| Kmicic      | Bogdan    | 13.06.64       | Poznan            | grafik        | kb64 | Bogdan Kmicic 13-06-64 kb64         |
| Kopec       | Anna      | 15.10.70       | Olsztyn           | elektronik    | ka70 | Anna Kopec 15-10-70 ka70            |
| Janasik     | Iza       | 24.02.69       | Olsztyn           | elektronik    | ji69 | Iza Janasik 24-02-69 ji69           |
| Inny        | Jan       | 28.02.68       | Olesnica          | akwizytor     | ij68 | Jan Inny 28-02-68 ij68              |
| Holmes      | Adam      | 25.12.70       | Olesnica          | akwizytor     | ha70 | Adam Holmes 25-12-70 ha70           |
| Gigant      | Grzegorz  | 25.02.68       | Lublin            | ksiegowy      | gg68 | Grzegorz Gigant 25-02-68 gg68       |
| Gates       | Stefan    | 18.11.65       | Lublin            | menadzer      | gs65 | Stefan Gates 18-11-65 gs65          |
| Gates       | Stanislaw | 05.01.68       | Leszno            | portier       | gs68 | Stanislaw Gates 05-01-68 gs68       |
| Chinski     | Bohdan    | 04.05.69       | Leszno            | radca         | cb69 | Bohdan Chinski 04-05-69 cb69        |
| Boss        | Anna      | 25.04.65       | Krakow            | sekretarka    | ba65 | Anna Boss 25-04-65 ba65             |
| Bosman      | Stanislaw | 18.09.69       | Krakow            | statystyk     | bs69 | Stanislaw Bosman 18-09-69 bs69      |
| Bosman      | Karol     | 29.09.70       | JeleniaGora       | sekretarka    | bk70 | Karol Bosman 29-09-70 bk70          |
| Aanusz      | Jan       | 02.02.65       | JeleniaGora       | radca         | aj65 | Jan Aanusz 02-02-65 aj65            |
| Kiel        | Barbara   | 05.09.70       | Bydgoszcz         | informatyk    | kb70 | Barbara Kiel 05-09-70 kb70          |
| Gagatek     | Zenon     | 03.12.67       | Bydgoszcz         | portier       | gz67 | Zenon Gagatek 03-12-67 gz67         |
| Borowik     | Michal    | 10.12.70       | Ziebice           | menadzer      | bm70 | Michal Borowik 10-12-70 bm70        |
| Soski       | Robert    | 26.07.68       | Gdynia            | ksiegowy      | sr68 | Robert Soski 26-07-68 sr68          |
| Musial      | Jacek     | 30.08.67       | Gdansk            | informatyk    | mj67 | Jacek Musial 30-08-67 mj67          |
| Zysk        | Maryla    | 11.04.65       | Szczecin          | grafik        | zm65 | Maryla Zysk 11-04-65 zm65           |
| Robak       | Jacek     | 02.07.67       | Ziebice           | elektronik    | rj67 | Jacek Robak 02-07-67 rj67           |
