Pracownicy	"data przyjecia do pracy"	poniedzialek	wtorek	sroda	czwartek	piatek	sobota	niedziela
Jan Kowalski	97-03-30	08:06	04:00	10:56	11:57	00:00	04:00	08:56
Jerzy Nowy	00-05-31	10:56	02:00	12:54	12:00	00:00	02:00	12:54
Piotr Myhan	02-04-01	08:23	05:59	00:00	11:57	04:00	03:00	00:00
Adam Nowak	02-06-01	09:32	07:00	05:00	04:00	02:00	04:00	05:00
Andrzej Dec	03-07-01	05:01	05:08	12:05	05:30	05:59	05:59	12:05
Jacek Marks	01-01-01	12:00	00:00	11:54	11:57	07:00	07:00	01:57
Leon Stefan	98-05-01	11:08	00:00	12:00	12:00	05:08	05:08	02:00
Karol Mytnik	03-01-05	11:59	08:00	11:57	11:57	00:00	05:59	11:57
Jan Beztroski	01-01-01	04:09	09:54	04:00	04:00	00:00	07:00	04:00
Dawid Gorski	02-01-07	06:07	06:10	05:30	05:30	00:00	07:08	05:30
